year,sex,unemployment_rate,age_group
2015,Mujer,23.6,General (15-74)
2016,Mujer,21.4,General (15-74)
2017,Mujer,19.0,General (15-74)
2018,Mujer,17.0,General (15-74)
2019,Mujer,16.0,General (15-74)
2020,Mujer,17.4,General (15-74)
2021,Mujer,16.8,General (15-74)
2022,Mujer,14.9,General (15-74)
2023,Mujer,13.9,General (15-74)
2024,Mujer,12.7,General (15-74)
2025,Mujer,11.9,General (15-74)
2015,Hombre,20.8,General (15-74)
2016,Hombre,18.1,General (15-74)
2017,Hombre,15.7,General (15-74)
2018,Hombre,13.7,General (15-74)
2019,Hombre,12.5,General (15-74)
2020,Hombre,13.9,General (15-74)
2021,Hombre,13.2,General (15-74)
2022,Hombre,11.4,General (15-74)
2023,Hombre,10.7,General (15-74)
2024,Hombre,10.2,General (15-74)
2025,Hombre,9.3,General (15-74)
2015,Total,22.1,General (15-74)
2016,Total,19.6,General (15-74)
2017,Total,17.2,General (15-74)
2018,Total,15.3,General (15-74)
2019,Total,14.1,General (15-74)
2020,Total,15.5,General (15-74)
2021,Total,14.9,General (15-74)
2022,Total,13.0,General (15-74)
2023,Total,12.2,General (15-74)
2024,Total,11.4,General (15-74)
2025,Total,10.5,General (15-74)
2015,Mujer,48.0,Jóvenes (15-24)
2016,Mujer,44.9,Jóvenes (15-24)
2017,Mujer,37.4,Jóvenes (15-24)
2018,Mujer,33.3,Jóvenes (15-24)
2019,Mujer,34.5,Jóvenes (15-24)
2020,Mujer,39.7,Jóvenes (15-24)
2021,Mujer,36.2,Jóvenes (15-24)
2022,Mujer,30.9,Jóvenes (15-24)
2023,Mujer,28.5,Jóvenes (15-24)
2024,Mujer,27.1,Jóvenes (15-24)
2025,Mujer,25.8,Jóvenes (15-24)
2015,Hombre,48.6,Jóvenes (15-24)
2016,Hombre,44.0,Jóvenes (15-24)
2017,Hombre,39.5,Jóvenes (15-24)
2018,Hombre,35.2,Jóvenes (15-24)
2019,Hombre,30.9,Jóvenes (15-24)
2020,Hombre,37.1,Jóvenes (15-24)
2021,Hombre,34.0,Jóvenes (15-24)
2022,Hombre,28.7,Jóvenes (15-24)
2023,Hombre,28.8,Jóvenes (15-24)
2024,Hombre,26.0,Jóvenes (15-24)
2025,Hombre,24.1,Jóvenes (15-24)
2015,Total,48.3,Jóvenes (15-24)
2016,Total,44.4,Jóvenes (15-24)
2017,Total,38.6,Jóvenes (15-24)
2018,Total,34.3,Jóvenes (15-24)
2019,Total,32.5,Jóvenes (15-24)
2020,Total,38.3,Jóvenes (15-24)
2021,Total,35.0,Jóvenes (15-24)
2022,Total,29.7,Jóvenes (15-24)
2023,Total,28.7,Jóvenes (15-24)
2024,Total,26.5,Jóvenes (15-24)
2025,Total,24.9,Jóvenes (15-24)
