DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Spain,2015,23.6,,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Spain,2016,21.4,,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Spain,2017,19.0,,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Spain,2018,17.0,,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Spain,2019,16.0,,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Spain,2020,17.4,,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Spain,2021,16.8,d,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Spain,2022,14.9,d,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Spain,2023,13.9,d,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Spain,2024,12.7,d,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Spain,2025,11.9,d,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Males,Spain,2015,20.8,,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Males,Spain,2016,18.1,,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Males,Spain,2017,15.7,,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Males,Spain,2018,13.7,,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Males,Spain,2019,12.5,,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Males,Spain,2020,13.9,,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Males,Spain,2021,13.2,d,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Males,Spain,2022,11.4,d,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Males,Spain,2023,10.7,d,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Males,Spain,2024,10.2,d,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Males,Spain,2025,9.3,d,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2015,22.1,,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2016,19.6,,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2017,17.2,,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2018,15.3,,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2019,14.1,,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2020,15.5,,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2021,14.9,d,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2022,13.0,d,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2023,12.2,d,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2024,11.4,d,
ESTAT:TESEM120(1.0),10/09/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2025,10.5,d,
