DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2015,48.0,,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2016,44.9,,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2017,37.4,,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2018,33.3,,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2019,34.5,,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2020,39.7,,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2021,36.2,d,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2022,30.9,d,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2023,28.5,d,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2024,27.1,d,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2025,25.8,d,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Males,Spain,2015,48.6,,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Males,Spain,2016,44.0,,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Males,Spain,2017,39.5,,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Males,Spain,2018,35.2,,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Males,Spain,2019,30.9,,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Males,Spain,2020,37.1,,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Males,Spain,2021,34.0,d,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Males,Spain,2022,28.7,d,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Males,Spain,2023,28.8,d,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Males,Spain,2024,26.0,d,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Males,Spain,2025,24.1,d,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Total,Spain,2015,48.3,,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Total,Spain,2016,44.4,,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Total,Spain,2017,38.6,,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Total,Spain,2018,34.3,,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Total,Spain,2019,32.5,,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Total,Spain,2020,38.3,,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Total,Spain,2021,35.0,d,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Total,Spain,2022,29.7,d,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Total,Spain,2023,28.7,d,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Total,Spain,2024,26.5,d,
ESTAT:TESEM140(1.0),10/09/26 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Total,Spain,2025,24.9,d,
